loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.015366341918706894,0.12396104633808136,0.015589073300361633,0.12485621124505997
0.015278521925210953,0.12360631674528122,0.016048699617385864,0.12668345868587494
0.015102691948413849,0.12289301306009293,0.015237927436828613,0.12344200164079666
0.015191949903964996,0.12325562536716461,0.09855780750513077,0.3139391839504242
0.015087989158928394,0.12283317744731903,0.01846081018447876,0.135870561003685
0.014953603968024254,0.12228492647409439,0.017144491896033287,0.13093698024749756
0.014975239522755146,0.12237336486577988,0.015441201627254486,0.12426263093948364
0.014866461046040058,0.12192809581756592,0.01519403513520956,0.12326408922672272
0.014691791497170925,0.12120970338582993,0.014982238411903381,0.12240195274353027
0.014769534580409527,0.1215299740433693,0.02165818028151989,0.14716719090938568
