original_val,count
0,1330905
1,2412171
2,2153347
3,895912
4,331166
5,160368
6,64858
7,40451
8,25185
9,18275
10,11688
11,9031
12,6617
13,5123
14,3799
15,3300
16,2421
17,2278
18,1705
19,1441
20,1098
21,914
22,804
23,625
24,477
25,427
26,322
27,255
28,211
29,166
30,141
31,115
32,101
33,76
34,57
35,52
36,40
37,37
38,27
39,18
40,26
41,9
42,19
43,13
44,21
45,11
46,3
47,5
48,3
49,4
50,4
51,3
52,3
53,2
54,1
55,5
56,4
58,1
59,2
67,1
