DEM,SLOPE,Distance,AUC,fpr,tpr,thresholds
015,029,055,0.8113375459040889,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99991515e+00 9.99915152e-01 9.98626263e-01 ... 2.92929293e-05
 1.51515152e-05 0.00000000e+00]"
095,003,001,0.6652278309764427,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99999596e+00 9.99995960e-01 9.99862626e-01 ... 2.02020202e-06
 1.01010101e-06 0.00000000e+00]"
001,088,009,0.709569765314642,"[0.00000000e+00 5.31450480e-04 9.11057966e-04 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01129944 ... 1.         1.         1.        ],"[1.99990102e+00 9.99901020e-01 9.99632653e-01 ... 2.04081633e-06
 1.02040816e-06 0.00000000e+00]"
019,070,010,0.6876237075383828,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99991919e+00 9.99919192e-01 9.96808081e-01 ... 1.91919192e-05
 1.01010101e-05 0.00000000e+00]"
052,021,026,0.7660583081387631,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99995253e+00 9.99952525e-01 9.99019192e-01 ... 2.62626263e-05
 2.12121212e-05 0.00000000e+00]"
016,045,038,0.7773490840414514,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99991616e+00 9.99916162e-01 9.97916162e-01 ... 3.23232323e-05
 1.61616162e-05 0.00000000e+00]"
044,049,006,0.6748857853296076,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99994444e+00 9.99944444e-01 9.97766667e-01 ... 1.21212121e-05
 6.06060606e-06 0.00000000e+00]"
052,027,020,0.7416356064100906,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99995253e+00 9.99952525e-01 9.98752525e-01 ... 2.72727273e-05
 2.02020202e-05 0.00000000e+00]"
033,066,000,0.6389165551971803,[0.         0.00637741 0.01059105 ... 0.99422997 0.99677334 1.        ],[0.         0.01412429 0.02683616 ... 1.         1.         1.        ],"[1.99993333e+00 9.99933333e-01 9.97000000e-01 ... 6.66666667e-05
 3.33333333e-05 0.00000000e+00]"
046,022,031,0.7786255946379692,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99994646e+00 9.99946465e-01 9.98968687e-01 ... 3.13131313e-05
 2.22222222e-05 0.00000000e+00]"
026,051,021,0.7202698440885571,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99992653e+00 9.99926531e-01 9.97636735e-01 ... 2.65306122e-05
 2.14285714e-05 0.00000000e+00]"
013,019,066,0.8231040911607004,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99991327e+00 9.99913265e-01 9.99060204e-01 ... 1.93877551e-05
 1.32653061e-05 0.00000000e+00]"
069,012,017,0.744223558998188,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99997041e+00 9.99970408e-01 9.99431633e-01 ... 1.73469388e-05
 1.22448980e-05 0.00000000e+00]"
037,043,019,0.7209660860387874,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99993737e+00 9.99937374e-01 9.98026263e-01 ... 3.73737374e-05
 1.91919192e-05 0.00000000e+00]"
086,003,010,0.713939808836533,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99998687e+00 9.99986869e-01 9.99853535e-01 ... 6.06060606e-06
 3.03030303e-06 0.00000000e+00]"
068,019,012,0.7168462456712414,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99996869e+00 9.99968687e-01 9.99124242e-01 ... 1.91919192e-05
 1.21212121e-05 0.00000000e+00]"
068,006,025,0.7648325995327612,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99996869e+00 9.99968687e-01 9.99702020e-01 ... 1.21212121e-05
 6.06060606e-06 0.00000000e+00]"
067,010,021,0.7565447976509803,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99996837e+00 9.99968367e-01 9.99519388e-01 ... 2.04081633e-05
 1.02040816e-05 0.00000000e+00]"
053,039,006,0.6764408355997187,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99995408e+00 9.99954082e-01 9.98203061e-01 ... 1.22448980e-05
 6.12244898e-06 0.00000000e+00]"
036,057,006,0.6750485125498878,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99993636e+00 9.99936364e-01 9.97403030e-01 ... 1.21212121e-05
 6.06060606e-06 0.00000000e+00]"
008,068,023,0.7140327805004427,"[0.00000000e+00 5.31450480e-04 9.11057966e-04 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01129944 ... 1.         1.         1.        ],"[1.99990808e+00 9.99908081e-01 9.97782828e-01 ... 1.61616162e-05
 8.08080808e-06 0.00000000e+00]"
085,005,009,0.7096644795270391,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99998586e+00 9.99985859e-01 9.99763636e-01 ... 9.09090909e-06
 5.05050505e-06 0.00000000e+00]"
004,060,035,0.7677237019407808,"[0.00000000e+00 5.31450480e-04 9.11057966e-04 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01129944 ... 1.         1.         1.        ],"[1.99990404e+00 9.99904040e-01 9.98841414e-01 ... 8.08080808e-06
 4.04040404e-06 0.00000000e+00]"
080,000,018,0.7457194698534821,[0.         0.00170823 0.00375811 ... 0.97099799 0.97327563 1.        ],[0.         0.02259887 0.03672316 ... 1.         1.         1.        ],"[1.99998163e+00 9.99981633e-01 9.78512245e-01 ... 3.67346939e-05
 1.83673469e-05 0.00000000e+00]"
047,003,049,0.8102448875772056,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99994747e+00 9.99947475e-01 9.99814141e-01 ... 6.06060606e-06
 3.03030303e-06 0.00000000e+00]"
065,004,030,0.7738018987237253,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99996566e+00 9.99965657e-01 9.99787879e-01 ... 8.08080808e-06
 4.04040404e-06 0.00000000e+00]"
007,014,077,0.8324742837375081,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99990714e+00 9.99907143e-01 9.99278571e-01 ... 1.42857143e-05
 7.14285714e-06 0.00000000e+00]"
025,032,041,0.795377490691574,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99992551e+00 9.99925510e-01 9.98488776e-01 ... 3.26530612e-05
 2.55102041e-05 0.00000000e+00]"
008,057,033,0.7628139241312619,"[0.00000000e+00 5.31450480e-04 9.11057966e-04 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01129944 ... 1.         1.         1.        ],"[1.99990816e+00 9.99908163e-01 9.97761224e-01 ... 1.63265306e-05
 8.16326531e-06 0.00000000e+00]"
039,023,036,0.7899754831470361,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99993980e+00 9.99939796e-01 9.98907143e-01 ... 3.67346939e-05
 2.34693878e-05 0.00000000e+00]"
008,082,008,0.6959398727478499,"[0.00000000e+00 5.31450480e-04 9.11057966e-04 ... 9.94647534e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01129944 ... 1.         1.         1.        ],"[1.99990816e+00 9.99908163e-01 9.97761224e-01 ... 1.63265306e-05
 8.16326531e-06 0.00000000e+00]"
007,036,056,0.8094482480256657,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99990707e+00 9.99907071e-01 9.98307071e-01 ... 1.41414141e-05
 7.07070707e-06 0.00000000e+00]"
007,085,006,0.689791920408535,"[0.00000000e+00 5.31450480e-04 9.11057966e-04 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01129944 ... 1.         1.         1.        ],"[1.99990714e+00 9.99907143e-01 9.98028571e-01 ... 7.14285714e-06
 6.12244898e-06 0.00000000e+00]"
023,053,023,0.7250958455284918,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94647534e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99992323e+00 9.99923232e-01 9.97567677e-01 ... 4.64646465e-05
 2.32323232e-05 0.00000000e+00]"
012,017,069,0.8259977939872319,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99991224e+00 9.99912245e-01 9.99148980e-01 ... 1.73469388e-05
 1.22448980e-05 0.00000000e+00]"
007,008,084,0.8419729155420527,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99990707e+00 9.99907071e-01 9.99551515e-01 ... 8.08080808e-06
 7.07070707e-06 0.00000000e+00]"
074,019,006,0.6864698991638126,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99997475e+00 9.99974747e-01 9.99130303e-01 ... 1.21212121e-05
 6.06060606e-06 0.00000000e+00]"
012,019,067,0.8235782251998891,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99991224e+00 9.99912245e-01 9.99059184e-01 ... 1.93877551e-05
 1.22448980e-05 0.00000000e+00]"
009,085,004,0.6767923746507127,"[0.00000000e+00 5.31450480e-04 9.11057966e-04 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01129944 ... 1.         1.         1.        ],"[1.99990918e+00 9.99909184e-01 9.97493878e-01 ... 8.16326531e-06
 4.08163265e-06 0.00000000e+00]"
047,001,050,0.8107449185677602,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99994796e+00 9.99947959e-01 9.99903061e-01 ... 2.04081633e-06
 1.02040816e-06 0.00000000e+00]"
001,055,042,0.7754953877690468,"[0.00000000e+00 5.31450480e-04 9.11057966e-04 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01129944 ... 1.         1.         1.        ],"[1.99990102e+00 9.99901020e-01 9.99632653e-01 ... 2.04081633e-06
 1.02040816e-06 0.00000000e+00]"
002,067,029,0.72491025071037,"[0.00000000e+00 5.31450480e-04 9.11057966e-04 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01129944 ... 1.         1.         1.        ],"[1.99990204e+00 9.99902041e-01 9.99365306e-01 ... 4.08163265e-06
 2.04081633e-06 0.00000000e+00]"
009,026,064,0.8170298620266193,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99990909e+00 9.99909091e-01 9.98753535e-01 ... 1.81818182e-05
 9.09090909e-06 0.00000000e+00]"
068,010,020,0.7539724475739543,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99996939e+00 9.99969388e-01 9.99520408e-01 ... 2.04081633e-05
 1.02040816e-05 0.00000000e+00]"
011,013,074,0.8321054532438318,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99991122e+00 9.99911224e-01 9.99327551e-01 ... 1.32653061e-05
 1.12244898e-05 0.00000000e+00]"
025,023,051,0.809813968740503,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99992525e+00 9.99925253e-01 9.98903030e-01 ... 2.52525253e-05
 2.32323232e-05 0.00000000e+00]"
015,060,023,0.7179888481186159,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99991531e+00 9.99915306e-01 9.97221429e-01 ... 2.34693878e-05
 1.53061224e-05 0.00000000e+00]"
051,031,016,0.7223735826646773,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99995204e+00 9.99952041e-01 9.98560204e-01 ... 3.16326531e-05
 1.63265306e-05 0.00000000e+00]"
021,027,051,0.8093331594001859,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99992121e+00 9.99921212e-01 9.98721212e-01 ... 2.72727273e-05
 2.12121212e-05 0.00000000e+00]"
038,057,003,0.6614546505241264,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.97001101e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99993878e+00 9.99938776e-01 9.97379592e-01 ... 6.12244898e-06
 3.06122449e-06 0.00000000e+00]"
002,084,013,0.7099360221982448,"[0.00000000e+00 5.31450480e-04 9.11057966e-04 ... 9.94685495e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01129944 ... 1.         1.         1.        ],"[1.99990202e+00 9.99902020e-01 9.99370707e-01 ... 4.04040404e-06
 2.02020202e-06 0.00000000e+00]"
060,003,035,0.7820806125449336,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99996122e+00 9.99961224e-01 9.99826531e-01 ... 6.12244898e-06
 3.06122449e-06 0.00000000e+00]"
078,008,012,0.7237911324549173,"[0.00000000e+00 5.31450480e-04 1.02494021e-03 ... 9.95596553e-01
 9.97039062e-01 1.00000000e+00]",[0.         0.00847458 0.01553672 ... 1.         1.         1.        ],"[1.99997959e+00 9.99979592e-01 9.99620408e-01 ... 1.22448980e-05
 8.16326531e-06 0.00000000e+00]"
046,052,000,0.6451353354303966,[0.         0.00637741 0.01059105 ... 0.99422997 0.99677334 1.        ],[0.         0.01412429 0.02683616 ... 1.         1.         1.        ],"[1.99994694e+00 9.99946939e-01 9.97612245e-01 ... 5.30612245e-05
 4.69387755e-05 0.00000000e+00]"
