DEM,SLOPE,Distance,AUC,fpr,tpr,thresholds
003,048,048,0.8856989257409007,"[0.00000000e+00 3.70919881e-04 9.27299703e-04 ... 9.92247774e-01
 9.94473294e-01 1.00000000e+00]",[0.         0.00632911 0.01265823 ... 1.         1.         1.        ],"[1.99995152e+00 9.99951515e-01 9.99672727e-01 ... 6.06060606e-06
 3.03030303e-06 0.00000000e+00]"
038,004,057,0.8738745633474815,"[0.00000000e+00 3.70919881e-04 9.27299703e-04 ... 9.91060831e-01
 9.94473294e-01 1.00000000e+00]",[0.         0.00632911 0.01265823 ... 1.         1.         1.        ],"[1.99999596e+00 9.99995960e-01 9.96464646e-01 ... 8.08080808e-06
 4.04040404e-06 0.00000000e+00]"
056,038,004,0.6964977416143936,"[0.00000000e+00 3.70919881e-04 9.27299703e-04 ... 9.94399110e-01
 9.94473294e-01 1.00000000e+00]",[0.         0.00632911 0.01265823 ... 1.         1.         1.        ],"[1.99996122e+00 9.99961224e-01 9.94704082e-01 ... 1.22448980e-05
 4.08163265e-06 0.00000000e+00]"
009,023,066,0.8919646546219434,"[0.00000000e+00 3.70919881e-04 9.27299703e-04 ... 9.92247774e-01
 9.94473294e-01 1.00000000e+00]",[0.         0.00632911 0.01265823 ... 1.         1.         1.        ],"[1.99997653e+00 9.99976531e-01 9.99131633e-01 ... 1.83673469e-05
 9.18367347e-06 0.00000000e+00]"
006,057,035,0.8524699038425422,"[0.00000000e+00 3.70919881e-04 9.27299703e-04 ... 9.92247774e-01
 9.94473294e-01 1.00000000e+00]",[0.         0.00632911 0.01265823 ... 1.         1.         1.        ],"[1.99994184e+00 9.99941837e-01 9.99378571e-01 ... 1.22448980e-05
 6.12244898e-06 0.00000000e+00]"
012,055,031,0.8402207442812606,"[0.00000000e+00 3.70919881e-04 9.27299703e-04 ... 9.92247774e-01
 9.94473294e-01 1.00000000e+00]",[0.         0.00632911 0.01265823 ... 1.         1.         1.        ],"[1.99994388e+00 9.99943878e-01 9.98817347e-01 ... 2.44897959e-05
 1.22448980e-05 0.00000000e+00]"
004,076,019,0.7782389756977051,"[0.00000000e+00 3.70919881e-04 9.27299703e-04 ... 9.92247774e-01
 9.94473294e-01 1.00000000e+00]",[0.         0.00632911 0.01265823 ... 1.         1.         1.        ],"[1.99992323e+00 9.99923232e-01 9.99551515e-01 ... 8.08080808e-06
 4.04040404e-06 0.00000000e+00]"
005,004,090,0.9137912941817226,"[0.00000000e+00 3.70919881e-04 9.27299703e-04 ... 9.91060831e-01
 9.94473294e-01 1.00000000e+00]",[0.         0.00632911 0.01265823 ... 1.         1.         1.        ],"[1.99999596e+00 9.99995960e-01 9.99531313e-01 ... 5.05050505e-06
 4.04040404e-06 0.00000000e+00]"
034,034,031,0.8515589199188671,"[0.00000000e+00 3.70919881e-04 9.27299703e-04 ... 9.94399110e-01
 9.94473294e-01 1.00000000e+00]",[0.         0.00632911 0.01265823 ... 1.         1.         1.        ],"[1.99996566e+00 9.99965657e-01 9.96806061e-01 ... 3.43434343e-05
 3.13131313e-05 0.00000000e+00]"
053,014,031,0.8341280330916877,"[0.00000000e+00 3.70919881e-04 9.27299703e-04 ... 9.91060831e-01
 9.94473294e-01 1.00000000e+00]",[0.         0.00632911 0.01265823 ... 1.         1.         1.        ],"[1.99998571e+00 9.99985714e-01 9.95010204e-01 ... 2.85714286e-05
 1.42857143e-05 0.00000000e+00]"
