DEM,SLOPE,Distance,AUC,fpr,tpr,thresholds
046,013,039,0.7979271431829783,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99994694e+00 9.99946939e-01 9.83424490e-01 ... 2.65306122e-05
 1.32653061e-05 0.00000000e+00]"
036,017,045,0.811666856737373,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99993673e+00 9.99936735e-01 9.87006122e-01 ... 3.46938776e-05
 1.73469388e-05 0.00000000e+00]"
021,077,000,0.6131940748625155,[0.         0.00596822 0.01151828 ... 0.99714894 0.99828936 1.        ],[0.         0.02619048 0.02857143 ... 1.         1.         1.        ],"[1.99992143e+00 9.99921429e-01 9.92378571e-01 ... 4.28571429e-05
 2.14285714e-05 0.00000000e+00]"
050,037,012,0.6751006922194103,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98327378e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99995051e+00 9.99950505e-01 9.82172727e-01 ... 3.73737374e-05
 1.21212121e-05 0.00000000e+00]"
050,000,048,0.8149882970750834,[0.         0.00235688 0.00505588 ... 0.98015662 0.98141108 1.        ],[0.         0.01904762 0.02619048 ... 1.         1.         1.        ],"[1.99995102e+00 9.99951020e-01 9.81991837e-01 ... 5.10204082e-05
 4.89795918e-05 0.00000000e+00]"
047,004,048,0.8159600109335912,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99994747e+00 9.99947475e-01 9.83236364e-01 ... 8.08080808e-06
 4.04040404e-06 0.00000000e+00]"
032,033,034,0.7746762009753343,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99993232e+00 9.99932323e-01 9.88554545e-01 ... 3.33333333e-05
 3.23232323e-05 0.00000000e+00]"
032,047,019,0.7010792395723591,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98365392e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99993265e+00 9.99932653e-01 9.88438776e-01 ... 3.26530612e-05
 1.93877551e-05 0.00000000e+00]"
061,035,003,0.6351240709162856,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.98327378e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99996162e+00 9.99961616e-01 9.94552525e-01 ... 3.53535354e-05
 3.03030303e-06 0.00000000e+00]"
068,002,029,0.765489042876331,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99996869e+00 9.99968687e-01 9.99659596e-01 ... 4.04040404e-06
 2.02020202e-06 0.00000000e+00]"
033,011,055,0.8245336479456072,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99993333e+00 9.99933333e-01 9.88200000e-01 ... 2.22222222e-05
 1.11111111e-05 0.00000000e+00]"
038,019,042,0.8050570574158349,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99993838e+00 9.99938384e-01 9.86427273e-01 ... 3.83838384e-05
 1.91919192e-05 0.00000000e+00]"
037,016,046,0.8127027420867229,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99993737e+00 9.99937374e-01 9.86781818e-01 ... 3.23232323e-05
 1.61616162e-05 0.00000000e+00]"
069,007,022,0.7384214808861277,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99997041e+00 9.99970408e-01 9.75186735e-01 ... 1.42857143e-05
 7.14285714e-06 0.00000000e+00]"
