DEM,SLOPE,Distance,AUC,fpr,tpr,thresholds
024,073,002,0.6693879536740496,"[0.00000000e+00 4.13985172e-04 7.52700312e-04 ... 9.96349403e-01
 9.96462309e-01 1.00000000e+00]",[0.         0.00813008 0.01463415 ... 1.         1.         1.        ],"[1.99997374e+00 9.99973737e-01 9.96894949e-01 ... 4.04040404e-06
 2.02020202e-06 0.00000000e+00]"
012,024,063,0.843130125667295,"[0.00000000e+00 4.13985172e-04 7.52700312e-04 ... 9.91870837e-01
 9.96462309e-01 1.00000000e+00]",[0.         0.00813008 0.01463415 ... 1.         1.         1.        ],"[1.99992424e+00 9.99924242e-01 9.98384848e-01 ... 2.42424242e-05
 1.21212121e-05 0.00000000e+00]"
009,039,050,0.8234079393972216,"[0.00000000e+00 4.13985172e-04 7.52700312e-04 ... 9.91870837e-01
 9.96462309e-01 1.00000000e+00]",[0.         0.00813008 0.01463415 ... 1.         1.         1.        ],"[1.99993980e+00 9.99939796e-01 9.98773469e-01 ... 1.83673469e-05
 9.18367347e-06 0.00000000e+00]"
084,014,001,0.6827178784376756,"[0.00000000e+00 4.13985172e-04 8.27970344e-04 ... 9.96349403e-01
 9.96462309e-01 1.00000000e+00]",[0.         0.00813008 0.02113821 ... 1.         1.         1.        ],"[1.99991414e+00 9.99914141e-01 9.96223232e-01 ... 2.02020202e-06
 1.01010101e-06 0.00000000e+00]"
065,030,003,0.6909115720941561,"[0.00000000e+00 4.13985172e-04 8.27970344e-04 ... 9.96349403e-01
 9.96462309e-01 1.00000000e+00]",[0.         0.00813008 0.02113821 ... 1.         1.         1.        ],"[1.99993061e+00 9.99930612e-01 9.91940816e-01 ... 6.12244898e-06
 3.06122449e-06 0.00000000e+00]"
015,064,019,0.7281622821873471,"[0.00000000e+00 4.13985172e-04 7.52700312e-04 ... 9.91870837e-01
 9.96462309e-01 1.00000000e+00]",[0.         0.00813008 0.01463415 ... 1.         1.         1.        ],"[1.99996531e+00 9.99965306e-01 9.98021429e-01 ... 1.93877551e-05
 1.53061224e-05 0.00000000e+00]"
061,002,036,0.8078068179349515,"[0.00000000e+00 4.13985172e-04 8.27970344e-04 ... 9.94204208e-01
 9.96462309e-01 1.00000000e+00]",[0.         0.00813008 0.02113821 ... 1.         1.         1.        ],"[1.99990202e+00 9.99902020e-01 9.99374747e-01 ... 4.04040404e-06
 2.02020202e-06 0.00000000e+00]"
032,012,054,0.8413890319325457,"[0.00000000e+00 4.13985172e-04 8.27970344e-04 ... 9.94204208e-01
 9.96462309e-01 1.00000000e+00]",[0.         0.00813008 0.02113821 ... 1.         1.         1.        ],"[1.99991224e+00 9.99912245e-01 9.96716327e-01 ... 2.44897959e-05
 1.22448980e-05 0.00000000e+00]"
003,030,065,0.8392492212152561,"[0.00000000e+00 4.13985172e-04 7.52700312e-04 ... 9.91870837e-01
 9.96462309e-01 1.00000000e+00]",[0.         0.00813008 0.01463415 ... 1.         1.         1.        ],"[1.99993061e+00 9.99930612e-01 9.99541837e-01 ... 6.12244898e-06
 3.06122449e-06 0.00000000e+00]"
022,049,027,0.769284044313854,"[0.00000000e+00 4.13985172e-04 7.52700312e-04 ... 9.91870837e-01
 9.96462309e-01 1.00000000e+00]",[0.         0.00813008 0.01463415 ... 1.         1.         1.        ],"[1.99995000e+00 9.99950000e-01 9.97098980e-01 ... 2.75510204e-05
 2.24489796e-05 0.00000000e+00]"
