DEM,SLOPE,Distance,AUC,fpr,tpr,thresholds
013,047,038,0.7499574375959214,"[0.00000000e+00 6.64789614e-04 1.21226341e-03 ... 9.95111841e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00797101 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.97218367e-01 ... 2.65306122e-05
 1.32653061e-05 0.00000000e+00]"
009,041,048,0.7731530835356607,"[0.00000000e+00 6.64789614e-04 1.36868450e-03 ... 9.95111841e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00652174 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.97648980e-01 ... 1.83673469e-05
 9.18367347e-06 0.00000000e+00]"
069,028,001,0.6349267881310401,"[0.00000000e+00 6.64789614e-04 1.21226341e-03 ... 9.96128578e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00797101 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.98342857e-01 ... 2.04081633e-06
 1.02040816e-06 0.00000000e+00]"
056,042,000,0.628968887506036,[0.         0.00406695 0.01012827 ... 0.99393868 0.99585484 1.        ],[0.         0.00724638 0.01811594 ... 0.99927536 1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.97514286e-01 ... 5.71428571e-05
 4.28571429e-05 0.00000000e+00]"
036,010,053,0.7855236394199272,"[0.00000000e+00 6.64789614e-04 1.21226341e-03 ... 9.95111841e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00797101 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.99414141e-01 ... 2.02020202e-05
 1.01010101e-05 0.00000000e+00]"
012,074,013,0.6891810024324613,"[0.00000000e+00 6.64789614e-04 1.36868450e-03 ... 9.95111841e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00652174 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.96896970e-01 ... 1.31313131e-05
 1.21212121e-05 0.00000000e+00]"
027,041,031,0.7388552385194858,"[0.00000000e+00 6.64789614e-04 1.21226341e-03 ... 9.95111841e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00797101 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.97597980e-01 ... 3.13131313e-05
 2.72727273e-05 0.00000000e+00]"
029,068,001,0.6353272346112255,"[0.00000000e+00 6.64789614e-04 1.21226341e-03 ... 9.96128578e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00797101 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.95975510e-01 ... 2.04081633e-06
 1.02040816e-06 0.00000000e+00]"
002,082,014,0.7000839204791472,"[0.00000000e+00 6.64789614e-04 1.36868450e-03 ... 9.95111841e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00652174 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.99477551e-01 ... 4.08163265e-06
 2.04081633e-06 0.00000000e+00]"
025,034,039,0.7628884031900833,"[0.00000000e+00 6.64789614e-04 1.21226341e-03 ... 9.93586735e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00797101 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.97987755e-01 ... 3.97959184e-05
 2.55102041e-05 0.00000000e+00]"
077,002,019,0.7110257879428813,"[0.00000000e+00 6.64789614e-04 1.21226341e-03 ... 9.95111841e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00797101 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.99881633e-01 ... 4.08163265e-06
 2.04081633e-06 0.00000000e+00]"
038,009,052,0.7840632417249845,"[0.00000000e+00 6.64789614e-04 1.21226341e-03 ... 9.95111841e-01
 9.96636947e-01 1.00000000e+00]",[0.         0.00289855 0.00797101 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.99472727e-01 ... 1.81818182e-05
 9.09090909e-06 0.00000000e+00]"
