DEM,SLOPE,Distance,AUC,fpr,tpr,thresholds
025,003,070,0.8236120413940584,"[0.00000000e+00 2.67073636e-04 7.24914155e-04 ... 9.83365128e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.01111111 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.96421429e-01 ... 6.12244898e-06
 3.06122449e-06 0.00000000e+00]"
019,039,041,0.7808803302857735,"[0.00000000e+00 2.67073636e-04 5.72300649e-04 ... 9.79893171e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.00864198 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.88964646e-01 ... 3.83838384e-05
 1.91919192e-05 0.00000000e+00]"
052,020,026,0.7632320384736766,"[0.00000000e+00 2.67073636e-04 7.24914155e-04 ... 9.83365128e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.01111111 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.76142857e-01 ... 2.65306122e-05
 2.04081633e-05 0.00000000e+00]"
021,038,039,0.7790817754037899,"[0.00000000e+00 2.67073636e-04 5.72300649e-04 ... 9.79893171e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.00864198 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.87678571e-01 ... 3.87755102e-05
 2.14285714e-05 0.00000000e+00]"
027,017,055,0.8130233960273384,"[0.00000000e+00 2.67073636e-04 5.72300649e-04 ... 9.83365128e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.00864198 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.84318182e-01 ... 2.72727273e-05
 1.71717172e-05 0.00000000e+00]"
001,034,064,0.7992260516907598,"[0.00000000e+00 2.67073636e-04 5.72300649e-04 ... 9.79893171e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.00864198 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.99419192e-01 ... 2.02020202e-06
 1.01010101e-06 0.00000000e+00]"
039,054,005,0.6718966938450596,"[0.00000000e+00 2.67073636e-04 5.72300649e-04 ... 9.87561999e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.00864198 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.77117347e-01 ... 1.02040816e-05
 5.10204082e-06 0.00000000e+00]"
016,034,049,0.7940271831032355,"[0.00000000e+00 2.67073636e-04 5.72300649e-04 ... 9.79893171e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.00864198 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.90707071e-01 ... 3.23232323e-05
 1.61616162e-05 0.00000000e+00]"
002,004,092,0.834601815347078,"[0.00000000e+00 2.67073636e-04 5.72300649e-04 ... 9.79893171e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.00864198 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.98826531e-01 ... 4.08163265e-06
 2.04081633e-06 0.00000000e+00]"
081,004,013,0.7156788710368769,"[0.00000000e+00 2.67073636e-04 7.24914155e-04 ... 9.83365128e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.01111111 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.95228571e-01 ... 8.16326531e-06
 4.08163265e-06 0.00000000e+00]"
074,006,018,0.7331721706445093,"[0.00000000e+00 2.67073636e-04 7.24914155e-04 ... 9.83365128e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.01111111 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.92842857e-01 ... 1.22448980e-05
 6.12244898e-06 0.00000000e+00]"
011,012,076,0.8277871512616521,"[0.00000000e+00 2.67073636e-04 5.72300649e-04 ... 9.79893171e-01
 9.88134300e-01 1.00000000e+00]",[0.         0.00617284 0.00864198 ... 1.         1.         1.        ],"[2.00000000e+00 1.00000000e+00 9.93611111e-01 ... 1.21212121e-05
 1.11111111e-05 0.00000000e+00]"
